Month,Proportion
201907,0
201908,0.2571896188917466
201909,0.04166666666666667
201910,0.13371537726838587
201911,0.10599957600169599
201912,0.1665873393622085
202001,0.2352437981180496
202002,0.20426690876078077
202003,0.49307794424426327
202004,0.3030877060049252
202005,0.39370078740157477
202006,0.08445945945945946
202007,0.15053763440860216
202008,0.3019193444037093
202009,0.10345541071798055
202010,0.1867762420620097
202011,0.2799552071668533
202012,0.11284134506883321
202101,0.07690335811330429
202102,0.25264124942581534
202103,0.1231274368971886
202104,0.10606703436571914
202105,0.17961383026493039
202106,0.08958566629339307
202107,0.11059500110595002
202108,0.1392757660167131
202109,0.3305420890260027
202110,0.28521281263712156
202111,0.11123470522803114
202112,0.1410105757931845
202201,0.04966476285075739
202202,0.25682932523931823
202203,0.17452006980802792
202204,0.23934897079942558
202205,0.13066202090592335
202206,0.13066202090592335
202207,0.024888003982080638
202208,0.1434720229555237
202209,0.22758306781975418
202210,0.2648687695641705
202211,0.17818253811126508
202212,0.15885623510722796
202301,0.08178844056706652
202302,0.23235550392099913
202303,0.04030632809351068
202304,0.10251153254741158
202305,0.16990291262135923
202306,0.14877262583684603
202307,0.10551305724083357
202308,0.12817226352217378
202309,0.19787286668315607
202310,0.2158273381294964
202311,0.07255139056831923
202312,0.053662463107056614
202401,0.14734774066797643
